TIME;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
GEO (Labels);;;;;;;;;;
European Union - 27 countries (from 2020);746.100.398;781.202.599;819.698.948;871.695.782;938.854.476;996.295.411;1.035.119.832;276.758.108;373.809.763;819.849.662
Euro area – 20 countries (from 2023);:;:;:;:;:;:;:;:;:;:
Euro area - 19 countries  (2015-2022);:;:;:;:;:;:;:;:;:;:
Belgium;26.389.927;28.776.258;30.958.841;30.115.832;33.260.493;34.506.309;35.385.188;9.465.828;13.500.020;27.873.892
Bulgaria;7.079.292;7.520.697;7.610.949;9.324.217;11.092.651;12.137.714;11.713.068;3.729.017;5.047.877;8.807.502
Czechia;11.891.812;12.079.873;12.672.004;13.672.362;16.245.554;17.838.221;18.767.088;3.821.372;4.755.160;11.532.650
Denmark;27.459.623;29.015.133;30.095.505;32.763.142;33.261.214;34.701.139;34.780.127;8.658.654;10.817.817;26.649.573
Germany;180.783.188;186.445.814;193.936.430;200.687.293;212.389.343;222.422.361;226.764.086;57.795.978;73.597.370;155.302.643
Estonia;1.958.565;2.019.806;2.160.978;2.214.989;2.635.145;2.995.528;3.258.003;857.837;1.292.941;2.731.365
Ireland;24.603.640;26.310.826;29.545.020;32.595.709;34.271.771;36.345.005;37.947.510;8.268.297;9.097.359;32.405.890
Greece;34.023.934;39.117.833;42.096.402;45.543.371;50.170.728;54.258.826;56.088.527;17.341.192;32.245.559;57.893.929
Spain;157.731.973;165.354.382;174.652.503;193.872.037;209.824.089;220.611.429;228.262.372;57.797.305;91.898.241;199.571.203
France;132.762.875;136.360.671;140.867.569;145.280.602;154.096.485;161.991.179;168.726.788;50.724.011;66.033.809;136.560.938
Croatia;5.722.447;6.140.797;6.571.698;7.475.463;8.843.053;9.731.294;10.623.239;1.943.547;4.458.400;9.415.321
Italy;115.279.105;121.164.587;127.665.221;134.477.781;144.306.325;153.352.444;160.667.939;40.405.355;59.709.143;132.425.719
Cyprus;7.011.437;7.328.546;7.590.787;8.961.817;10.238.913;10.927.101;11.261.410;2.270.577;5.099.704;8.613.471
Latvia;4.782.257;4.802.282;5.145.856;5.384.160;6.077.854;7.037.070;7.785.726;1.995.133;2.336.134;5.368.369
Lithuania;3.482.358;3.798.110;4.227.389;4.787.561;5.246.101;6.254.178;6.504.685;1.804.500;2.464.603;5.333.890
Luxembourg;2.169.327;2.433.966;2.651.751;2.984.242;3.554.730;3.988.804;4.365.569;1.426.310;2.002.903;4.057.247
Hungary;8.441.319;9.054.848;10.228.352;11.660.366;13.350.029;15.176.493;16.700.750;3.962.687;4.665.369;12.393.512
Malta;4.032.029;4.290.032;4.619.557;5.080.446;6.007.731;6.805.817;7.318.357;1.752.445;2.547.912;5.861.597
Netherlands;58.077.271;60.963.003;64.570.938;70.317.995;76.240.304;79.644.163;81.192.507;23.594.783;29.082.583;61.289.771
Austria;25.749.724;26.378.676;26.754.007;27.181.511;28.327.279;31.138.417;35.644.188;9.168.431;11.105.564;26.381.180
Poland;23.274.484;25.714.422;28.907.439;32.266.861;37.684.668;43.767.548;46.942.771;13.825.460;18.893.812;39.347.542
Portugal;29.694.146;32.560.621;36.005.814;40.930.044;47.673.057;51.018.598;55.007.894;16.548.993;22.347.692;57.081.723
Romania;10.016.933;10.907.487;12.580.711;15.153.719;17.934.774;19.809.642;21.565.865;6.633.447;10.384.613;19.535.951
Slovenia;1.265.766;1.307.128;1.436.003;1.404.152;1.682.133;1.810.567;1.719.039;287.787;419.346;968.811
Slovakia;1.557.149;1.671.290;1.943.656;2.158.261;2.402.651;2.794.094;2.839.787;500.604;642.078;1.942.568
Finland;16.565.391;17.171.931;17.479.246;18.099.954;20.054.947;22.173.530;23.287.929;5.428.622;4.554.497;13.812.577
Sweden;31.443.225;32.766.043;34.011.263;35.952.558;38.456.213;38.945.096;37.614.763;9.317.677;10.798.009;25.038.812
Iceland;3.199.266;3.853.614;4.847.288;6.801.814;8.318.734;10.166.386;7.584.197;1.527.633;2.437.139;6.463.479
Liechtenstein;:;:;:;:;:;:;:;:;:;:
Norway;36.686.364;37.603.195;37.503.052;37.727.546;38.739.778;40.030.105;40.348.437;13.216.883;14.136.316;32.562.643
Switzerland;44.217.568;46.127.426;48.026.375;50.505.492;53.564.943;56.139.549;57.194.328;16.006.811;19.109.708;42.424.182
United Kingdom;210.468.980;220.022.122;232.270.437;248.868.873;264.629.454;272.190.155;277.432.380;:;:;:
Bosnia and Herzegovina;:;:;:;:;:;:;:;:;987.659;:
Montenegro;:;:;:;1.845.464;2.173.494;2.440.486;2.652.801;521.959;1.309.266;1.908.552
North Macedonia;:;:;1.452.373;1.649.374;1.861.282;2.152.746;2.353.327;709.241;1.266.230;2.134.988
Albania;:;:;:;:;:;:;:;:;:;:
Serbia;:;:;:;4.414.858;4.828.171;5.521.250;6.450.643;1.938.468;3.431.750;5.991.693
Türkiye;:;:;:;:;:;:;:;:;:;:
