TIME;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);:;;:;;:;;2.890.780;bep;3.155.818;ep;4.055.071;bep;3.693.495;bep;3.751.814;bep;3.942.303;bep;4.216.138;bep;3.268.760;bep;3.744.277;
Euro area – 20 countries (from 2023);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Euro area - 19 countries  (2015-2022);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Belgium;135.281;b;147.377;b;129.477;;120.078;;123.158;;146.626;;123.702;;126.703;;137.860;;150.006;;118.683;;139.743;
Bulgaria;:;;:;;14.103;bp;18.570;p;26.615;p;25.223;p;21.241;p;25.597;p;29.559;p;37.929;p;37.364;p;39.461;
Czechia;48.317;;27.114;b;34.337;;30.124;b;29.897;;29.602;;64.083;;51.847;;65.910;;105.888;;63.095;;69.360;
Denmark;52.236;;52.833;;54.409;;60.312;;68.388;;78.492;;74.383;;68.579;;64.669;;61.384;;57.230;;63.489;
Germany;404.055;;489.422;;592.175;;692.713;;884.893;e;1.571.047;e;1.029.852;b;917.109;be;893.886;be;886.341;be;728.606;be;874.367;
Estonia;2.810;;3.709;;2.639;;4.109;;3.904;;15.413;b;14.822;;17.616;;17.547;;18.259;;16.209;;19.524;
Ireland;52.339;;57.292;b;61.324;;65.539;;73.519;;80.792;;85.185;;78.499;;97.712;;85.630;;74.211;;80.732;
Greece;60.462;;60.089;b;58.200;;57.946;;59.013;;64.446;b;116.867;b;112.247;;119.489;;129.459;;84.221;;57.120;
Spain;360.705;;371.331;;304.053;;280.772;;305.454;;342.114;;414.746;;532.132;;643.684;;750.480;;467.918;;528.856;
France;307.111;b;319.816;;327.431;;338.752;;340.383;;364.221;;377.709;;369.621;;387.158;;385.591;;283.237;e;336.398;
Croatia;8.846;;8.534;;8.959;;10.378;;10.638;;11.706;;13.985;;15.553;;26.029;;37.726;;33.414;;35.912;
Italy;458.856;;385.793;;350.772;;307.454;;277.631;;280.078;;300.823;;343.440;;332.324;;332.778;;247.526;;318.366;
Cyprus;20.206;;23.037;;17.476;;13.149;;9.212;;15.183;;17.391;;21.306;;23.442;;26.170;;25.861;;24.001;
Latvia;4.011;;10.234;;13.303;;8.299;;10.365;;9.479;;8.345;;9.916;;10.909;;11.223;;8.840;;12.689;
